Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84
11: Norte,14104757,,5211320,,8893437,,13262616,,5056194,,8206422,,11556645,,4774859,,6781786,,6142067,,3565187,,2576880,,4366056,,2749967,,1616089,,10810712,,4314067,,6496645,,9778017,,4037521,,5740496,,9008846,,3814341,,5194505,,7989922,,3574797,,4415125,,7001899,,3275764,,3726135,,6061742,,2915542,,3146200,,5276137,,2637358,,2638779,,4541919,,2373305,,2168614,,4547011,,2462932,,2084079,
111: Alto Minho,985240,,573502,,411738,,928528,,567753,,360775,,860775,,537494,,323281,,604354,,443484,,160870,,459536,,353455,,106081,,779868,,472296,,307572,,725520,,444098,,281422,,655006,,397513,,257493,,544477,,345643,,198834,,464316,,285603,,178713,,372230,,233947,,138283,,340787,,221917,,118870,,268358,,186972,,81386,,263519,,184180,,79339,
1111601: Arcos de Valdevez,103627,,76095,,27532,,88916,,63548,,25368,,80263,,59978,,20285,,63010,,53651,,9359,,55252,,48454,,6798,,82522,,64702,,17820,,75142,,56863,,18279,,65301,,46673,,18628,,57117,,43913,,13204,,32684,,23918,,8766,,18485,,11764,,6721,,20228,,12515,,7713,,10151,,7737,,2414,,9948,,8122,,1826,
1111602: Caminha,121180,,62702,,58478,,119003,,66969,,52034,,117208,,66461,,50747,,77678,,57088,,20590,,66414,,52408,,14006,,112052,,68141,,43911,,93196,,61209,,31987,,84052,,53581,,30471,,74069,,47173,,26896,,67109,,40215,,26894,,49044,,30783,,18261,,46992,,29318,,17674,,44706,,32552,,12154,,43444,,32525,,10919,
1111603: Melgaço,49111,,38891,,10220,,48178,,40758,,7420,,47684,,42546,,5138,,34950,,31463,,3487,,26768,,25009,,1759,,43915,,37473,,6442,,46846,,36798,,10048,,35529,,28828,,6701,,32569,,24995,,7574,,26381,,20993,,5388,,23415,,19284,,4131,,20019,,16014,,4005,,21223,,19071,,2152,,,…,,…,,…
1111604: Monção,47634,,34757,,12877,,46614,,37209,,9405,,40593,,31378,,9215,,29815,,24873,,4942,,18904,,15313,,3591,,38166,,29245,,8921,,34301,,25580,,8721,,35503,,24411,,11092,,30187,,22055,,8132,,25625,,18836,,6789,,11984,,6959,,5025,,17325,,13031,,4294,,,…,,…,,…,,…,,…,,…
1111605: Paredes de Coura,10215,,6569,,3646,,10450,,7034,,3416,,10208,,6790,,3418,,6060,,5250,,810,,4803,,4445,,358,,8178,,5380,,2798,,8189,,6041,,2148,,7511,,5711,,1800,,4789,,2725,,2064,,3688,,1997,,1691,,2999,,1979,,1020,,3081,,2154,,927,,,…,,…,,…,,…,,…,,…
1111606: Ponte da Barca,37233,,26957,,10276,,39617,,28807,,10810,,38587,,28019,,10568,,25017,,20495,,4522,,22508,,19950,,2558,,25418,,17262,,8156,,17821,,12188,,5633,,19138,,13359,,5779,,11622,,6623,,4999,,7305,,4761,,2544,,4939,,3267,,1672,,4478,,3944,,534,,,…,,…,,…,,…,,…,,…
1111607: Ponte de Lima,120813,,69326,,51487,,121334,,73623,,47711,,105189,,64419,,40770,,73285,,53999,,19286,,51802,,41447,,10355,,91314,,47624,,43690,,89288,,47969,,41319,,75917,,36256,,39661,,57411,,27153,,30258,,46764,,23259,,23505,,37529,,19982,,17547,,29962,,15802,,14160,,15087,,10495,,4592,,17315,,12699,,4616,
1111608: Valença,68819,,44903,,23916,,59171,,39961,,19210,,60083,,40250,,19833,,38558,,29880,,8678,,26703,,21651,,5052,,48501,,31893,,16608,,41692,,29083,,12609,,40491,,29008,,11483,,35560,,26560,,9000,,33482,,24177,,9305,,33611,,24505,,9106,,32265,,23765,,8500,,34623,,26877,,7746,,31281,,24172,,7109,
1111609: Viana do Castelo,356111,,157088,,199023,,325374,,153489,,171885,,293750,,144096,,149654,,203985,,124438,,79547,,147978,,90992,,56986,,264358,,119090,,145268,,253070,,116126,,136944,,223866,,106079,,117787,,175225,,89093,,86132,,158831,,76871,,81960,,137558,,71624,,65934,,124412,,68870,,55542,,99909,,54924,,44985,,115474,,68879,,46595,
1111610: Vila Nova de Cerveira,70497,,56214,,14283,,69871,,56355,,13516,,67210,,53557,,13653,,51996,,42347,,9649,,38404,,33786,,4618,,65444,,51486,,13958,,65975,,52241,,13734,,67698,,53607,,14091,,65928,,55353,,10575,,62447,,50576,,11871,,52666,,43800,,8866,,42025,,36504,,5521,,28356,,25015,,3341,,17166,,12667,,4499,
112: Cávado,1167899,,604918,,562981,,1119300,,586542,,532758,,1058649,,585216,,473433,,713143,,486921,,226222,,489469,,370592,,118877,,1051917,,584527,,467390,,966614,,544265,,422349,,889470,,496235,,393235,,795627,,464901,,330726,,672383,,405398,,266985,,564053,,354613,,209440,,497218,,315778,,181440,,460585,,311305,,149280,,480009,,320922,,159087,
1120301: Amares,45021,,27029,,17992,,43856,,28537,,15319,,44699,,29913,,14786,,34535,,27783,,6752,,24576,,21756,,2820,,45002,,30868,,14134,,40087,,28760,,11327,,38396,,27568,,10828,,33183,,23906,,9277,,33069,,23681,,9388,,25208,,18342,,6866,,20825,,15986,,4839,,19086,,15657,,3429,,22454,,19345,,3109,
1120302: Barcelos,74022,,36880,,37142,,71949,,33072,,38877,,64700,,29820,,34880,,35991,,21519,,14472,,20479,,12661,,7818,,58796,,26378,,32418,,49769,,20288,,29481,,40251,,16381,,23870,,35776,,13175,,22601,,37549,,12553,,24996,,27945,,12573,,15372,,29382,,12597,,16785,,22128,,12951,,9177,,23992,,14591,,9401,
1120303: Braga,678666,,321322,,357344,,637309,,300762,,336547,,617129,,307045,,310084,,401994,,250192,,151802,,263609,,183225,,80384,,639600,,330578,,309022,,582414,,300426,,281988,,525419,,262896,,262523,,483956,,267378,,216578,,412617,,240544,,172073,,358066,,216025,,142041,,293274,,183423,,109851,,285904,,188212,,97692,,285799,,184447,,101352,
1120306: Esposende,181603,,72323,,109280,,175913,,71932,,103981,,152960,,70691,,82269,,88020,,50568,,37452,,57028,,37213,,19815,,137283,,48297,,88986,,129882,,49675,,80207,,124751,,46380,,78371,,106735,,39119,,67616,,86755,,38547,,48208,,72287,,34832,,37455,,79064,,36193,,42871,,69526,,34714,,34812,,80673,,40718,,39955,
1120310: Terras de Bouro,151398,,125216,,26182,,156562,,132561,,24001,,149707,,128809,,20898,,132718,,121534,,11184,,109641,,104172,,5469,,145825,,131521,,14304,,143564,,131079,,12485,,143583,,131714,,11869,,121252,,112897,,8355,,91074,,83044,,8030,,70150,,65550,,4600,,65056,,60885,,4171,,57800,,55068,,2732,,59145,,55702,,3443,
1120313: Vila Verde,37189,,22148,,15041,,33711,,19678,,14033,,29454,,18938,,10516,,19885,,15325,,4560,,14136,,11565,,2571,,25411,,16885,,8526,,20898,,14037,,6861,,17070,,11296,,5774,,14725,,8426,,6299,,11319,,7029,,4290,,10397,,7291,,3106,,9617,,6694,,2923,,6141,,4703,,1438,,7946,,6119,,1827,
119: Ave,674977,,383116,,291861,,651823,,376427,,275396,,584132,,356739,,227393,,371826,,261901,,109925,,276855,,210658,,66197,,565910,,326251,,239659,,524419,,296498,,227921,,465061,,259003,,206058,,378228,,214416,,163812,,346323,,208695,,137628,,310808,,185454,,125354,,269312,,162915,,106397,,285096,,189128,,95968,,228828,,149481,,79347,
1190304: Cabeceiras de Basto,21786,,11027,,10759,,14602,,7165,,7437,,15807,,7080,,8727,,10821,,8380,,2441,,5816,,5148,,668,,6236,,3634,,2602,,5418,,3840,,1578,,6240,,4369,,1871,,3755,,2359,,1396,,4284,,2982,,1302,,,…,,…,,…,1528,,931,,597,,,-,,-,,-,,-,,-,,-
1190307: Fafe,34121,,21076,,13045,,35978,,22662,,13316,,33685,,22656,,11029,,21886,,16504,,5382,,20440,,15182,,5258,,30867,,19416,,11451,,28179,,18281,,9898,,27359,,19365,,7994,,25994,,16620,,9374,,29150,,20822,,8328,,19020,,14953,,4067,,14038,,10180,,3858,,,…,,…,,…,,…,,…,,…
1190308: Guimarães,384984,,184788,,200196,,370462,,187412,,183050,,320866,,169509,,151357,,198465,,121877,,76588,,143684,,100363,,43321,,369455,,182640,,186815,,342300,,167737,,174563,,311737,,142407,,169330,,256531,,123723,,132808,,222534,,114275,,108259,,208987,,104318,,104669,,178429,,89441,,88988,,208331,,127069,,81262,,150190,,87845,,62345,
1191705: Mondim de Basto,58389,,50395,,7994,,54929,,48511,,6418,,51816,,45107,,6709,,38593,,35520,,3073,,31453,,29583,,1870,,47844,,43199,,4645,,46537,,40362,,6175,,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…
1190309: Póvoa de Lanhoso,19726,,15856,,3870,,21178,,16531,,4647,,24553,,20932,,3621,,11214,,9822,,1392,,8820,,8104,,716,,14247,,10733,,3514,,14172,,11694,,2478,,12209,,10365,,1844,,11753,,9919,,1834,,11924,,9945,,1979,,10491,,8846,,1645,,9304,,7781,,1523,,,…,,…,,…,,…,,…,,…
1190311: Vieira do Minho,60625,,43747,,16878,,56801,,42159,,14642,,57275,,43022,,14253,,48198,,41717,,6481,,39513,,36127,,3386,,49287,,35225,,14062,,32001,,22750,,9251,,35686,,25674,,10012,,32429,,23937,,8492,,30100,,20439,,9661,,26408,,18224,,8184,,22645,,15444,,7201,,14738,,10053,,4685,,14731,,10671,,4060,
1190312: Vila Nova de Famalicão,67564,,37091,,30473,,69140,,31363,,37777,,51935,,27007,,24928,,27192,,15964,,11228,,20013,,10949,,9064,,30620,,18968,,11652,,29649,,19895,,9754,,29409,,20160,,9249,,21397,,14583,,6814,,18655,,13045,,5610,,15315,,10747,,4568,,13129,,9804,,3325,,13630,,10547,,3083,,17137,,13711,,3426,
1190314: Vizela,27782,,19136,,8646,,28733,,20624,,8109,,28195,,21426,,6769,,15457,,12117,,3340,,7116,,5202,,1914,,17354,,12436,,4918,,26163,,11939,,14224,,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,-,,-,,-,,-,,-,,-
11A: Área Metropolitana do Porto,9514850,,2495583,,7019267,,8898492,,2414526,,6483966,,7470106,,2205370,,5264736,,3352303,,1484900,,1867403,,2319572,,1109720,,1209852,,7013152,,1997944,,5015208,,6319435,,1918190,,4401245,,5883971,,1901179,,3982792,,5210981,,1808509,,3402472,,4580506,,1702215,,2878291,,4030435,,1563117,,2467318,,3445153,,1394947,,2050206,,2979939,,1247312,,1732627,,2966657,,1312287,,1654370,
11A0104: Arouca,38285,,29285,,9000,,36648,,27943,,8705,,34689,,26634,,8055,,30346,,26329,,4017,,18311,,17194,,1117,,31574,,27352,,4222,,20782,,18498,,2284,,20232,,18135,,2097,,18580,,16949,,1631,,13479,,11473,,2006,,8691,,7641,,1050,,8963,,7886,,1077,,,…,,…,,…,,…,,…,,…
11A0107: Espinho,147270,,61586,,85684,,140522,,58201,,82321,,103880,,47590,,56290,,45445,,25665,,19780,,41911,,24529,,17382,,126217,,44340,,81877,,120068,,41038,,79030,,125491,,42931,,82560,,118528,,50937,,67591,,102472,,48134,,54338,,91368,,43868,,47500,,79250,,36565,,42685,,76733,,35809,,40924,,86356,,37290,,49066,
11A1304: Gondomar,106503,,58960,,47543,,97587,,53672,,43915,,39338,,17131,,22207,,5350,,2681,,2669,,5223,,1910,,3313,,14320,,4610,,9710,,4130,,856,,3274,,,…,,…,,…,,…,,…,,…,7173,,3945,,3228,,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…
11A1306: Maia,328770,,138303,,190467,,315125,,130424,,184701,,291463,,130222,,161241,,146179,,81514,,64665,,86254,,47403,,38851,,216935,,95199,,121736,,193963,,91465,,102498,,163576,,81165,,82411,,133462,,61423,,72039,,113634,,54785,,58849,,101399,,48343,,53056,,84630,,35884,,48746,,70661,,31009,,39652,,63302,,34521,,28781,
11A1308: Matosinhos,628805,,336708,,292097,,596363,,346351,,250012,,548747,,323870,,224877,,329188,,242740,,86448,,250548,,192645,,57903,,522639,,314248,,208391,,491102,,302114,,188988,,456872,,275266,,181606,,424422,,259237,,165185,,344839,,225647,,119192,,317203,,212725,,104478,,279727,,186818,,92909,,233375,,153331,,80044,,236498,,156567,,79931,
11A0113: Oliveira de Azeméis,36678,,21441,,15237,,41019,,22217,,18802,,37751,,23266,,14485,,19937,,13880,,6057,,15093,,8903,,6190,,40168,,23108,,17060,,,…,,…,,…,39155,,19529,,19626,,33520,,15851,,17669,,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…
11A1310: Paredes,74842,,38111,,36731,,65620,,28344,,37276,,51570,,21536,,30034,,34699,,19414,,15285,,25293,,15892,,9401,,59057,,26604,,32453,,63671,,31141,,32530,,56239,,29908,,26331,,50165,,30317,,19848,,39588,,26415,,13173,,35025,,24363,,10662,,27619,,19587,,8032,,26812,,19284,,7528,,28167,,22845,,5322,
11A1312: Porto,6279499,,968114,,5311385,,5869506,,929955,,4939551,,4819168,,853243,,3965925,,1874637,,515112,,1359525,,1243952,,358447,,885505,,4587237,,786609,,3800628,,4091975,,772326,,3319649,,3782858,,803630,,2979228,,3300011,,780235,,2519776,,2879833,,744015,,2135818,,2548591,,691621,,1856970,,2102481,,591660,,1510821,,1815157,,555080,,1260077,,1783781,,596198,,1187583,
11A1313: Póvoa de Varzim,286112,,125440,,160672,,289886,,128232,,161654,,262828,,124119,,138709,,161872,,93486,,68386,,114542,,72982,,41560,,262648,,113641,,149007,,201077,,94878,,106199,,197525,,86044,,111481,,172669,,77758,,94911,,162919,,77485,,85434,,142405,,70405,,72000,,139184,,70447,,68737,,138643,,72167,,66476,,144608,,77571,,67037,
11A0109: Santa Maria da Feira,125253,,87333,,37920,,128311,,90872,,37439,,111392,,81952,,29440,,72008,,56906,,15102,,38713,,27493,,11220,,93416,,51771,,41645,,93570,,49782,,43788,,79793,,44234,,35559,,72598,,42074,,30524,,63353,,38517,,24836,,55950,,35643,,20307,,50008,,35332,,14676,,,…,,…,,…,40176,,29382,,10794,
11A1314: Santo Tirso,90227,,58659,,31568,,89094,,56541,,32553,,71156,,44890,,26266,,45692,,38036,,7656,,40742,,34711,,6031,,63305,,45290,,18015,,61672,,44677,,16995,,63442,,45021,,18421,,60742,,43641,,17101,,56180,,40846,,15334,,,…,,…,,…,46794,,35421,,11373,,47525,,37210,,10315,,50449,,39005,,11444,
11A0116: São João da Madeira,46287,,27431,,18856,,45874,,27001,,18873,,46339,,26540,,19799,,30198,,18806,,11392,,18305,,10487,,7818,,52797,,27017,,25780,,50319,,27512,,22807,,45362,,26067,,19295,,48251,,32035,,16216,,39261,,20272,,18989,,35733,,18528,,17205,,,…,,…,,…,34085,,17462,,16623,,34175,,17090,,17085,
11A1318: Trofa,17456,,10977,,6479,,15334,,10627,,4707,,14025,,10692,,3333,,10908,,7822,,3086,,11278,,9109,,2169,,15677,,10909,,4768,,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,,…,17765,,11129,,6636,,,…,,…,,…,,…,,…,,…
11A0119: Vale de Cambra,13607,,9699,,3908,,14030,,10689,,3341,,10894,,7818,,3076,,10696,,9187,,1509,,7395,,6331,,1064,,19726,,13230,,6496,,17557,,12044,,5513,,12655,,10125,,2530,,16046,,13547,,2499,,12906,,10887,,2019,,12522,,11104,,1418,,7126,,6323,,803,,6059,,5184,,875,,4963,,4184,,779,
11A1315: Valongo,93567,,78027,,15540,,102246,,83537,,18709,,103569,,83796,,19773,,79366,,69480,,9886,,73658,,65798,,7860,,89272,,61482,,27790,,85149,,61366,,23783,,85381,,64899,,20482,,87419,,68816,,18603,,82067,,66682,,15385,,65006,,57352,,7654,,,…,,…,,…,,…,,…,,…,,…,,…,,…
11A1316: Vila do Conde,129971,,58404,,71567,,88992,,40079,,48913,,73312,,35067,,38245,,41274,,24820,,16454,,40509,,26771,,13738,,92763,,45070,,47693,,85401,,44196,,41205,,71383,,38173,,33210,,64188,,33451,,30737,,57562,,29476,,28086,,48177,,26013,,22164,,50897,,23258,,27639,,46980,,24095,,22885,,48177,,25076,,23101,
11A1317: Vila Nova de Gaia,1071718,,387105,,684613,,962335,,369841,,592494,,849985,,347004,,502981,,414508,,239022,,175486,,287845,,189115,,98730,,725401,,307464,,417937,,678851,,294333,,384518,,663957,,301921,,362036,,592587,,271827,,320760,,564340,,280479,,283861,,490789,,264689,,226100,,441220,,253252,,187968,,357098,,201850,,155248,,376177,,217113,,159064,
11B: Alto Tâmega,338972,,259738,,79234,,318180,,250777,,67403,,293084,,235105,,57979,,217247,,185199,,32048,,174008,,150822,,23186,,273562,,216562,,57000,,239264,,185562,,53702,,229913,,177902,,52011,,214011,,168595,,45416,,208357,,167988,,40369,,169757,,137628,,32129,,157200,,128131,,29069,,130127,,109312,,20815,,131699,,111064,,20635,
11B1702: Boticas,14489,,12469,,2020,,14564,,12513,,2051,,15617,,13529,,2088,,11049,,10136,,913,,7382,,6955,,427,,14373,,12420,,1953,,14991,,12449,,2542,,14931,,13319,,1612,,7043,,6497,,546,,,…,,…,,…,1966,,1769,,197,,1930,,1677,,253,,,…,,…,,…,,…,,…,,…
11B1703: Chaves,217665,,162904,,54761,,206816,,160848,,45968,,196219,,154172,,42047,,143680,,120448,,23232,,114769,,98914,,15855,,183331,,142054,,41277,,156051,,121953,,34098,,143330,,109690,,33640,,148268,,115513,,32755,,148041,,117135,,30906,,124203,,96304,,27899,,128212,,101516,,26696,,109712,,91222,,18490,,107275,,89455,,17820,
11B1706: Montalegre,22880,,17828,,5052,,20642,,17575,,3067,,17120,,15648,,1472,,13079,,12386,,693,,10296,,9862,,434,,13764,,12225,,1539,,12817,,11569,,1248,,12086,,10245,,1841,,25165,,20834,,4331,,31311,,28732,,2579,,27054,,26743,,311,,16611,,15370,,1241,,12173,,10645,,1528,,,…,,…,,…
11B1709: Ribeira de Pena,44269,,35786,,8483,,41659,,34282,,7377,,36345,,29454,,6891,,26314,,22719,,3595,,25348,,21297,,4051,,37687,,30970,,6717,,31251,,21456,,9795,,32089,,23000,,9089,,8998,,6120,,2878,,,…,,…,,…,7289,,4657,,2632,,2120,,1715,,405,,,…,,…,,…,,…,,…,,…
11B1712: Valpaços,9265,,7463,,1802,,7693,,6179,,1514,,6633,,5379,,1254,,3724,,3163,,561,,823,,796,,27,,2293,,1932,,361,,2213,,2054,,159,,2566,,2364,,202,,6573,,5256,,1317,,3745,,3343,,402,,3823,,3504,,319,,3207,,3179,,28,,2924,,2904,,20,,2527,,2477,,50,
11B1713: Vila Pouca de Aguiar,30404,,23288,,7116,,26806,,19380,,7426,,21150,,16923,,4227,,19401,,16347,,3054,,15390,,12998,,2392,,22114,,16961,,5153,,21941,,16081,,5860,,24911,,19284,,5627,,17964,,14375,,3589,,14310,,11146,,3164,,5422,,4651,,771,,5120,,4674,,446,,,…,,…,,…,4994,,3691,,1303,
11C: Tâmega e Sousa,487280,,311711,,175569,,446775,,287547,,159228,,443278,,301173,,142105,,317748,,254370,,63378,,225480,,191050,,34430,,376289,,244767,,131522,,338937,,221735,,117202,,291477,,191154,,100323,,257909,,174163,,83746,,220657,,150461,,70196,,176195,,123411,,52784,,147384,,101265,,46119,,99891,,69783,,30108,,96670,,69681,,26989,
11C1301: Amarante,86334,,50284,,36050,,81157,,47157,,34000,,79647,,47182,,32465,,55174,,39743,,15431,,42777,,33479,,9298,,72672,,38938,,33734,,63660,,31304,,32356,,52348,,26141,,26207,,50297,,26590,,23707,,43216,,26057,,17159,,40004,,23767,,16237,,33428,,17225,,16203,,24250,,11913,,12337,,21587,,12544,,9043,
11C1302: Baião,70234,,47790,,22444,,68621,,46968,,21653,,76428,,56308,,20120,,59690,,52894,,6796,,44001,,40607,,3394,,61190,,40168,,21022,,60528,,40330,,20198,,58930,,40589,,18341,,52966,,36293,,16673,,36974,,25234,,11740,,26465,,18636,,7829,,27181,,21176,,6005,,,…,,…,,…,,…,,…,,…
11C0106: Castelo de Paiva,41349,,19647,,21702,,38585,,17991,,20594,,39657,,20375,,19282,,31143,,23532,,7611,,28086,,23594,,4492,,42175,,26566,,15609,,21717,,16679,,5038,,26047,,20137,,5910,,25077,,20519,,4558,,27056,,20442,,6614,,20468,,15163,,5305,,18254,,14596,,3658,,,…,,…,,…,,…,,…,,…
11C0305: Celorico de Basto,30427,,20732,,9695,,26226,,19907,,6319,,28917,,21525,,7392,,22740,,21225,,1515,,15805,,14353,,1452,,19845,,15708,,4137,,21303,,13754,,7549,,8968,,3936,,5032,,8476,,3474,,5002,,6682,,3708,,2974,,4305,,2668,,1637,,4242,,2240,,2002,,,-,,-,,-,,-,,-,,-
11C1804: Cinfães,23057,,13925,,9132,,21904,,14204,,7700,,20804,,14289,,6515,,12588,,10785,,1803,,7058,,6070,,988,,14362,,8681,,5681,,12319,,6842,,5477,,10745,,6407,,4338,,10428,,6339,,4089,,10588,,6273,,4315,,8233,,6367,,1866,,8412,,7029,,1383,,,…,,…,,…,,…,,…,,…
